open	high	low	close	volume	macd	signal	position	pct change	strategy_returns	cumulative_returns
2639.71	2639.72	2635.31	2635.92	571.9754	-0.9428474593328247	-1	-2.0	-0.0014357637770815446	0.08614582662489267	0.3564941461905935
2635.93	2637.24	2635.92	2637.0	221.7093	-1.441318100906301	-1	0.0	0.00040972411909301343	0.0	0.3564941461905935
2636.99	2639.0	2636.76	2638.05	122.8329	-1.515571421756249	-1	0.0	0.00039817974971567693	0.0	0.3564941461905935
2638.05	2639.11	2638.05	2638.89	63.2458	-1.351444444043409	-1	0.0	0.0003184170125660746	0.0	0.3564941461905935
2638.89	2638.89	2636.97	2636.97	64.3441	-1.6415633862343384	-1	0.0	-0.0007275786410195773	-0.0	0.3564941461905935
2636.97	2636.98	2636.13	2636.51	57.5926	-1.906913584726226	-1	0.0	-0.00017444263681409833	-0.0	0.3564941461905935
2636.5	2636.59	2636.5	2636.58	38.7479	-2.03358696925352	-1	0.0	2.6550250141088583e-05	0.0	0.3564941461905935
2636.59	2636.59	2636.3	2636.3	189.6039	-2.1426804848269967	-1	0.0	-0.0001061981809767909	-0.0	0.3564941461905935
2636.3	2636.31	2636.25	2636.29	38.1928	-2.178292640674499	-1	0.0	-3.793195008205963e-06	-0.0	0.3564941461905935
2636.29	2636.3	2635.7	2635.89	83.073	-2.2504151846155764	-1	0.0	-0.0001517283758615262	-0.0	0.3564941461905935
2635.9	2635.9	2635.22	2635.23	74.6049	-2.4031161437537776	-1	0.0	-0.00025038981141090044	-0.0	0.3564941461905935
2635.22	2637.19	2635.22	2637.18	400.8726	-2.0295178695600953	-1	0.0	0.0007399733609589898	0.0	0.3564941461905935
2637.18	2637.19	2636.18	2636.55	70.063	-1.8818228408213145	-1	0.0	-0.0002388915432391947	-0.0	0.3564941461905935
2636.55	2637.0	2636.54	2636.6	69.996	-1.7373847277776804	-1	0.0	1.896417667013317e-05	0.0	0.3564941461905935
2636.61	2636.9	2635.63	2636.13	49.2038	-1.712808389978818	-1	0.0	-0.00017825988014863459	-0.0	0.3564941461905935
2636.13	2636.46	2635.23	2635.24	27.5753	-1.8616802676715452	-1	0.0	-0.0003376161266707145	-0.0	0.3564941461905935
2635.23	2635.91	2635.23	2635.88	102.6254	-1.7852733607346636	-1	0.0	0.0002428621302046352	0.0	0.3564941461905935
2635.87	2636.4	2635.49	2635.5	56.2961	-1.7853650890810968	-1	0.0	-0.00014416437774100732	-0.0	0.3564941461905935
2635.5	2636.26	2635.5	2636.18	45.6595	-1.6021016801132646	-1	0.0	0.0002580155568203679	0.0	0.3564941461905935
2636.17	2638.44	2636.17	2638.43	135.5452	-0.9524168827820176	-1	0.0	0.0008535077270899194	0.0	0.3564941461905935
2638.44	2639.4	2638.13	2639.4	128.7613	-0.2861774212888122	-1	0.0	0.0003676428785301944	0.0	0.3564941461905935
2639.39	2639.4	2638.59	2638.78	49.4464	0.027137931714605656	1	2.0	-0.00023490187163743848	-0.014094112298246309	0.3424000338923472
2638.79	2639.42	2638.79	2639.33	102.9472	0.3576548647029085	1	0.0	0.0002084296530970864	0.0	0.3424000338923472
2639.33	2639.33	2638.63	2639.01	105.9668	0.5011310666591271	1	0.0	-0.0001212428911882002	-0.0	0.3424000338923472
2639.01	2639.01	2639.0	2639.01	30.7226	0.5877648224982295	1	0.0	0.0	0.0	0.3424000338923472
2639.01	2639.01	2638.57	2639.01	54.3602	0.6348193630815331	1	0.0	0.0	0.0	0.3424000338923472
2639.01	2639.01	2638.33	2639.0	110.2314	0.6523476162260522	1	0.0	-3.789299775402988e-06	-0.0	0.3424000338923472
